sigungu,sigungu_code,dong,dong_code,boundary_wkt,admin_dong_code,gu_code
송파구,11240,가락2동,1124067,"POLYGON ((127.1413904172007 37.49285157653214, 127.14007677473411 37.49149638593564, 127.13566505691283 37.48772495794805, 127.13201853850408 37.4903526191601, 127.12836832360932 37.488704998434415, 127.12648844499559 37.492887536612415, 127.13023810599196 37.499201691257944, 127.1413904172007 37.49285157653214))",1171063200,11710
송파구,11240,가락1동,1124066,"POLYGON ((127.11690768761433 37.49540111125877, 127.12087971813645 37.48982135354343, 127.11025761076787 37.48649739956609, 127.104076240713 37.4908320962496, 127.0988509639092 37.49302529254068, 127.09945461343153 37.49413709993721, 127.11184118778608 37.49822071162521, 127.11373398262673 37.49759127667435, 127.11690768761433 37.49540111125877))",1171063100,11710
송파구,11240,가락본동,1124065,"POLYGON ((127.12601715489286 37.502566431166045, 127.13023810599196 37.499201691257944, 127.12648844499559 37.492887536612415, 127.12836832360932 37.488704998434415, 127.1231960830453 37.48619151131145, 127.12087971813645 37.48982135354343, 127.11690768761433 37.49540111125877, 127.12534597351237 37.50118281129916, 127.12454553610858 37.50257189817014, 127.12601715489286 37.502566431166045))",1171062000,11710
송파구,11240,삼전동,1124064,"POLYGON ((127.09942438049303 37.50373442814207, 127.09945461343153 37.49413709993721, 127.0988509639092 37.49302529254068, 127.0925798228796 37.49466797489548, 127.08573831212134 37.49645940739078, 127.09283256914149 37.50472802678396, 127.09942438049303 37.50373442814207))",1171061000,11710
송파구,11240,석촌동,1124063,"POLYGON ((127.1061376015552 37.505945179369164, 127.11225771020328 37.49918647739398, 127.11373398262673 37.49759127667435, 127.11184118778608 37.49822071162521, 127.09945461343153 37.49413709993721, 127.09942438049303 37.50373442814207, 127.1061376015552 37.505945179369164))",1171060000,11710
송파구,11240,송파2동,1124062,"POLYGON ((127.12454553610858 37.50257189817014, 127.12534597351237 37.50118281129916, 127.11690768761433 37.49540111125877, 127.11373398262673 37.49759127667435, 127.11225771020328 37.49918647739398, 127.11877175325546 37.50495689262354, 127.12454553610858 37.50257189817014))",1171059000,11710
송파구,11240,송파1동,1124061,"POLYGON ((127.1061376015552 37.505945179369164, 127.11020223658842 37.50917144065826, 127.11877175325546 37.50495689262354, 127.11225771020328 37.49918647739398, 127.1061376015552 37.505945179369164))",1171058000,11710
송파구,11240,오금동,1124060,"POLYGON ((127.14234128412676 37.50558978707914, 127.14648692309005 37.50158308598683, 127.14408770104095 37.496623440512806, 127.1413904172007 37.49285157653214, 127.13023810599196 37.499201691257944, 127.12601715489286 37.502566431166045, 127.13010227983818 37.50893147940457, 127.14234128412676 37.50558978707914))",1171057000,11710
송파구,11240,오륜동,1124059,"POLYGON ((127.12127423206992 37.5252637914794, 127.13085529491111 37.52098850616528, 127.1360224375423 37.51873736912533, 127.14672806823502 37.51415680680291, 127.14234128412676 37.50558978707914, 127.13010227983818 37.50893147940457, 127.12314046744862 37.51178484111041, 127.11466412513991 37.51471216716515, 127.1185171541772 37.52116117426451, 127.12127423206992 37.5252637914794))",1171056600,11710
송파구,11240,방이2동,1124058,"POLYGON ((127.10876057377162 37.51270927934955, 127.11466412513991 37.51471216716515, 127.12314046744862 37.51178484111041, 127.11877175325546 37.50495689262354, 127.11020223658842 37.50917144065826, 127.10876057377162 37.51270927934955))",1171056200,11710
