place_id,place_name,alias_names,gu,admin_dong,latitude,longitude,nx,ny,mapping_method,grid_distance_m,source_admin_code
seoul_admd_1117063000,이촌제1동,이촌제1동|이촌1동,용산구,이촌제1동,37.5184027777777,126.975355555555,60,126,kma_admin_dong_grid_20260325,2070,1117063000
seoul_admd_1117064000,이촌제2동,이촌제2동|이촌2동,용산구,이촌제2동,37.5240305555555,126.956330555555,59,126,kma_admin_dong_grid_20260325,2550,1117064000
seoul_admd_1117065000,이태원제1동,이태원제1동|이태원1동|이태원|이태원역,용산구,이태원제1동,37.5294916666666,126.997041666666,60,126,kma_admin_dong_grid_20260325,880,1117065000
seoul_admd_1117066000,이태원제2동,이태원제2동|이태원2동,용산구,이태원제2동,37.5379722222222,126.991844444444,60,126,kma_admin_dong_grid_20260325,548,1117066000
seoul_admd_1117068500,한남동,한남동,용산구,한남동,37.5318861111111,127.002644444444,60,126,kma_admin_dong_grid_20260325,1253,1117068500
seoul_admd_1117069000,서빙고동,서빙고동,용산구,서빙고동,37.5176055555555,126.996777777777,60,126,kma_admin_dong_grid_20260325,1934,1117069000
seoul_admd_1117070000,보광동,보광동,용산구,보광동,37.5234638888888,127.002333333333,60,126,kma_admin_dong_grid_20260325,1664,1117070000
seoul_admd_1120052000,왕십리제2동,왕십리제2동|왕십리2동,성동구,왕십리제2동,37.5583361111111,127.032711111111,61,127,kma_admin_dong_grid_20260325,2671,1120052000
seoul_admd_1120053500,왕십리도선동,왕십리도선동,성동구,왕십리도선동,37.5677544,127.0255591,61,127,kma_admin_dong_grid_20260325,2323,1120053500
seoul_admd_1120054000,마장동,마장동,성동구,마장동,37.5634333333333,127.047563888888,61,127,kma_admin_dong_grid_20260325,1763,1120054000
seoul_admd_1120055000,사근동,사근동,성동구,사근동,37.5584055555555,127.047955555555,61,127,kma_admin_dong_grid_20260325,2322,1120055000
seoul_admd_1120056000,행당제1동,행당제1동|행당1동,성동구,행당제1동,37.5553527777777,127.038077777777,61,126,kma_admin_dong_grid_20260325,2583,1120056000
seoul_admd_1120057000,행당제2동,행당제2동|행당2동,성동구,행당제2동,37.555575,127.031533333333,61,126,kma_admin_dong_grid_20260325,2831,1120057000
seoul_admd_1120058000,응봉동,응봉동,성동구,응봉동,37.5503472222222,127.035497222222,61,126,kma_admin_dong_grid_20260325,2154,1120058000
seoul_admd_1120059000,금호1가동,금호1가동,성동구,금호1가동,37.5520694444444,127.023944444444,61,126,kma_admin_dong_grid_20260325,2910,1120059000
seoul_admd_1120061500,금호2.3가동,금호2.3가동,성동구,금호2.3가동,37.553188,127.020859,61,126,kma_admin_dong_grid_20260325,3190,1120061500
seoul_admd_1120062000,금호4가동,금호4가동,성동구,금호4가동,37.5444722222222,127.024475,61,126,kma_admin_dong_grid_20260325,2334,1120062000
seoul_admd_1120064500,옥수동,옥수동,성동구,옥수동,37.543717,127.013463,60,126,kma_admin_dong_grid_20260325,2453,1120064500
seoul_admd_1120065000,성수1가제1동,성수1가제1동|성수1가1동,성동구,성수1가제1동,37.5389583333333,127.051986111111,61,126,kma_admin_dong_grid_20260325,790,1120065000
seoul_admd_1120066000,성수1가제2동,성수1가제2동|성수1가2동|성수|성수동|서울숲,성동구,성수1가제2동,37.5435277777777,127.046363888888,61,126,kma_admin_dong_grid_20260325,1152,1120066000
seoul_admd_1120067000,성수2가제1동,성수2가제1동|성수2가1동,성동구,성수2가제1동,37.5367027777777,127.0562,61,126,kma_admin_dong_grid_20260325,919,1120067000
seoul_admd_1120069000,성수2가제3동,성수2가제3동|성수2가3동,성동구,성수2가제3동,37.5454305555555,127.057333333333,61,126,kma_admin_dong_grid_20260325,1650,1120069000
seoul_admd_1120072000,송정동,송정동,성동구,송정동,37.5517277777777,127.071708333333,61,126,kma_admin_dong_grid_20260325,3015,1120072000
seoul_admd_1120079000,용답동,용답동,성동구,용답동,37.5613666666666,127.057433333333,61,127,kma_admin_dong_grid_20260325,2175,1120079000
seoul_admd_1121571000,화양동,화양동|건대|건대입구|건대입구역,광진구,화양동,37.5437861111111,127.073463888888,61,126,kma_admin_dong_grid_20260325,2632,1121571000
seoul_admd_1121573000,군자동,군자동,광진구,군자동,37.5523527777777,127.077997222222,62,126,kma_admin_dong_grid_20260325,3238,1121573000
seoul_admd_1121574000,중곡제1동,중곡제1동|중곡1동,광진구,중곡제1동,37.5578416666666,127.082163888888,62,127,kma_admin_dong_grid_20260325,3111,1121574000
seoul_admd_1121575000,중곡제2동,중곡제2동|중곡2동,광진구,중곡제2동,37.557475,127.083544444444,62,127,kma_admin_dong_grid_20260325,3062,1121575000
seoul_admd_1121576000,중곡제3동,중곡제3동|중곡3동,광진구,중곡제3동,37.5659166666666,127.082252777777,62,127,kma_admin_dong_grid_20260325,2508,1121576000
seoul_admd_1121577000,중곡제4동,중곡제4동|중곡4동,광진구,중곡제4동,37.5625111111111,127.089352777777,62,127,kma_admin_dong_grid_20260325,2304,1121577000
